x,predicted,std.error,conf.low,conf.high,group,resp,subset,predictor,percent_change
-1,63.3068383,3.184342154,56.91400467,69.69967193,1,Jackknife_richness,all,PC1,..
-0.5,62.74277027,2.928555782,56.86344921,68.62209132,1,Jackknife_richness,all,PC1,..
0,62.17870223,2.823034866,56.51122325,67.84618121,1,Jackknife_richness,all,PC1,..
0.5,61.6146342,2.884318916,55.82412235,67.40514604,1,Jackknife_richness,all,PC1,..
1,61.05056616,3.102538998,54.82195923,67.2791731,1,Jackknife_richness,all,PC1,..
1.5,60.48649813,3.448026061,53.56429697,67.40869929,1,Jackknife_richness,all,PC1,..
2,59.9224301,3.886991391,52.11896926,67.72589093,1,Jackknife_richness,all,PC1,..
2.5,59.35836206,4.39149215,50.5420737,68.17465043,1,Jackknife_richness,all,PC1,..
3,58.79429403,4.941496473,48.87382591,68.71476215,1,Jackknife_richness,all,PC1,..
3.5,58.230226,5.523427772,47.14148204,69.31896995,1,Jackknife_richness,all,PC1,..
4,57.66615796,6.128197466,45.36328819,69.96902774,1,Jackknife_richness,all,PC1,..
4.5,57.10208993,6.74966939,43.55156321,70.65261665,1,Jackknife_richness,all,PC1,..
-3,54.72983641,3.792658561,47.11575664,62.34391618,1,Jackknife_richness,rf,PC1,-18.88236373
-2.5,54.04088396,3.342959306,47.32961311,60.75215481,1,Jackknife_richness,rf,PC1,..
-2,53.35193151,2.922244535,47.48528081,59.21858221,1,Jackknife_richness,rf,PC1,..
-1.5,52.66297906,2.544929773,47.55381935,57.77213876,1,Jackknife_richness,rf,PC1,..
-1,51.9740266,2.233123419,47.49084427,56.45720894,1,Jackknife_richness,rf,PC1,..
-0.5,51.28507415,2.017431807,47.2349108,55.3352375,1,Jackknife_richness,rf,PC1,..
0,50.5961217,1.930347175,46.72078804,54.47145536,1,Jackknife_richness,rf,PC1,..
0.5,49.90716925,1.988835731,45.91441491,53.89992358,1,Jackknife_richness,rf,PC1,..
1,49.21821679,2.181218272,44.83923839,53.5971952,1,Jackknife_richness,rf,PC1,..
1.5,48.52926434,2.476484799,43.55751365,53.50101503,1,Jackknife_richness,rf,PC1,..
2,47.84031189,2.84275553,42.13324203,53.54738176,1,Jackknife_richness,rf,PC1,..
2.5,47.15135944,3.256157134,40.61435122,53.68836765,1,Jackknife_richness,rf,PC1,..
3,46.46240699,3.700929314,39.03248136,53.89233261,1,Jackknife_richness,rf,PC1,..
3.5,45.77345453,4.167039059,37.40777455,54.13913452,1,Jackknife_richness,rf,PC1,..
4,45.08450208,4.648071588,35.753109,54.41589517,1,Jackknife_richness,rf,PC1,..
4.5,44.39554963,5.13983878,34.07689271,54.71420655,1,Jackknife_richness,rf,PC1,..
-3,6.655089015,1.882413291,2.875986643,10.43419139,1,Jackknife_richness,oc,PC1,159.6309062
-2.5,7.363327608,1.665071326,4.020557438,10.70609778,1,Jackknife_richness,oc,PC1,..
-2,8.071566202,1.462460952,5.13555333,11.00757907,1,Jackknife_richness,oc,PC1,..
-1.5,8.779804796,1.281588212,6.2069091,11.35270049,1,Jackknife_richness,oc,PC1,..
-1,9.488043389,1.132912816,7.213626007,11.76246077,1,Jackknife_richness,oc,PC1,..
-0.5,10.19628198,1.030466567,8.127534028,12.26502994,1,Jackknife_richness,oc,PC1,..
0,10.90452058,0.988725459,8.919571391,12.88946976,1,Jackknife_richness,oc,PC1,..
0.5,11.61275917,1.01520516,9.574649767,13.65086857,1,Jackknife_richness,oc,PC1,..
1,12.32099776,1.105012123,10.10259336,14.53940217,1,Jackknife_richness,oc,PC1,..
1.5,13.02923636,1.244511495,10.53077528,15.52769744,1,Jackknife_richness,oc,PC1,..
2,13.73747495,1.419123929,10.88846478,16.58648512,1,Jackknife_richness,oc,PC1,..
2.5,14.44571354,1.61751766,11.19841134,17.69301575,1,Jackknife_richness,oc,PC1,..
3,15.15395214,1.831982759,11.47609328,18.83181099,1,Jackknife_richness,oc,PC1,..
3.5,15.86219073,2.057499714,11.7315877,19.99279376,1,Jackknife_richness,oc,PC1,..
4,16.57042933,2.290806868,11.97144264,21.16941602,1,Jackknife_richness,oc,PC1,..
4.5,17.27866792,2.529749777,12.19998332,22.35735252,1,Jackknife_richness,oc,PC1,..
-3,12.4203033,1.085428755,10.24121415,14.59939245,1,Jackknife_richness,rr,PC1,-16.56566447
-2.5,12.28313625,0.958230398,10.35940845,14.20686404,1,Jackknife_richness,rr,PC1,..
-2,12.1459692,0.839418567,10.46076611,13.83117229,1,Jackknife_richness,rr,PC1,..
-1.5,12.00880215,0.733082319,10.53707798,13.48052631,1,Jackknife_richness,rr,PC1,..
-1,11.87163509,0.645417666,10.57590506,13.16736513,1,Jackknife_richness,rr,PC1,..
-0.5,11.73446804,0.584881494,10.56026945,12.90866664,1,Jackknife_richness,rr,PC1,..
0,11.59730099,0.560336401,10.47237873,12.72222325,1,Jackknife_richness,rr,PC1,..
0.5,11.46013394,0.576398753,10.30296516,12.61730272,1,Jackknife_richness,rr,PC1,..
1,11.32296689,0.629970067,10.05824921,12.58768457,1,Jackknife_richness,rr,PC1,..
1.5,11.18579984,0.712640981,9.755113369,12.6164863,1,Jackknife_richness,rr,PC1,..
2,11.04863279,0.815610307,9.411226771,12.6860388,1,Jackknife_richness,rr,PC1,..
2.5,10.91146573,0.932175573,9.040045184,12.78288629,1,Jackknife_richness,rr,PC1,..
3,10.77429868,1.057851854,8.65057247,12.8980249,1,Jackknife_richness,rr,PC1,..
3.5,10.63713163,1.189755401,8.248597999,13.02566526,1,Jackknife_richness,rr,PC1,..
4,10.49996458,1.326029186,7.837849907,13.16207925,1,Jackknife_richness,rr,PC1,..
4.5,10.36279753,1.465454541,7.420774776,13.30482028,1,Jackknife_richness,rr,PC1,..
-3,43.00146986,3.794611882,35.34363305,50.65930667,1,density,all,PC1,-1.797061961
-2.5,42.94995232,3.38059956,36.12762621,49.77227844,1,density,all,PC1,..
-2,42.89843478,2.99527453,36.85372606,48.94314351,1,density,all,PC1,..
-1.5,42.84691725,2.651174781,37.49662993,48.19720456,1,density,all,PC1,..
-1,42.79539971,2.366353312,38.01990539,47.57089403,1,density,all,PC1,..
-0.5,42.74388217,2.164340629,38.37606595,47.11169839,1,density,all,PC1,..
0,42.69236464,2.069530089,38.51588383,46.86884544,1,density,all,PC1,..
0.5,42.6408471,2.096516468,38.40990557,46.87178862,1,density,all,PC1,..
1,42.58932956,2.240903811,38.06700258,47.11165654,1,density,all,PC1,..
1.5,42.53781202,2.482289378,37.52834925,47.5472748,1,density,all,PC1,..
2,42.48629449,2.795659725,36.84442475,48.12816423,1,density,all,PC1,..
2.5,42.43477695,3.159668988,36.05830678,48.81124712,1,density,all,PC1,..
3,42.38325941,3.558812303,35.20128542,49.56523341,1,density,all,PC1,..
3.5,42.33174188,3.982539891,34.29465099,50.36883276,1,density,all,PC1,..
4,42.28022434,4.423793059,33.35264851,51.20780017,1,density,all,PC1,..
4.5,42.2287068,4.877817971,32.38487161,52.072542,1,density,all,PC1,..
-3,35.7616172,3.664876663,28.36559666,43.15763773,1,density,rf,PC1,-14.98417558
-2.5,35.40437829,3.225714795,28.89462229,41.9141343,1,density,rf,PC1,..
-2,35.04713939,2.811888506,29.37251865,40.72176014,1,density,rf,PC1,..
-1.5,34.68990049,2.436342349,29.77316258,39.60663841,1,density,rf,PC1,..
-1,34.33266159,2.119522862,30.05529129,38.6100319,1,density,rf,PC1,..
