BirdID,IDlevel,Habit,Range,Loudness_levels,Sightability_levels,ndetections,ScientificName
malabar trogon,S,RF,NA,moderate,difficult,75,Harpactes fasciatus
malabar whistling-thrush,S,RF,NA,loud,moderate,544,Myophonus horsfieldii
malabar woodshrike,S,RF,Y,moderate,moderate,135,Tephrodornis sylvicola
mountain imperial-pigeon,S,RF,NA,loud,moderate,243,Ducula badia
nilgiri flowerpecker,S,RF,Y,moderate,moderate,1961,Dicaeum concolor
nilgiri flycatcher,S,RF,Y,soft,difficult,296,Eumyias albicaudatus
nilgiri thrush,S,RF,Y,soft,difficult,3,Zoothera neilgherriensis
nilgiri wood-pigeon,S,RF,Y,soft,difficult,3,Columba elphinstonii
orange-headed thrush,S,RF,NA,moderate,difficult,241,Geokichla citrina
orange minivet,S,RF,NA,moderate,easy,494,Pericrocotus flammeus
oriental dollarbird,S,RF,NA,moderate,easy,4,Eurystomus orientalis
oriental honey-buzzard (crested honey buzzard),S,RF,NA,soft,easy,4,Pernis ptilorhynchus
oriental magpie-robin,S,OC,NA,loud,easy,30,Copsychus saularis
oriental scops-owl,S,RF,NA,moderate,difficult,1,Otus sunia
oriental white-eye,S,RF,NA,soft,moderate,904,Zosterops palpebrosus
palani laughingthrush (palani chilappan),S,RF,Y,moderate,moderate,24,Montecincla fairbanki
pied bushchat,S,OC,NA,moderate,easy,1,Saxicola caprata
pied thrush,S,RF,NA,soft,difficult,3,Geokichla wardii
plum-headed parakeet,S,OC,NA,loud,easy,83,Psittacula cyanocephala
puff-throated babbler,S,RF,NA,loud,difficult,297,Pellorneum ruficeps
purple sunbird,S,OC,NA,moderate,moderate,74,Cinnyris asiaticus
red-wattled lapwing,S,OC,NA,loud,easy,1,Vanellus indicus
red-whiskered bulbul,S,OC,NA,loud,easy,418,Pycnonotus jocosus
red spurfowl,S,RF,NA,loud,moderate,56,Galloperdix spadicea
rufous babbler,S,RF,Y,loud,moderate,34,Turdoides subrufa
rufous woodpecker,S,RF,NA,loud,moderate,13,Micropternus brachyurus
rusty-tailed flycatcher,S,RF,NA,soft,difficult,225,Ficedula ruficauda
shikra,S,OC,NA,moderate,moderate,6,Accipiter badius
small minivet,S,OC,NA,moderate,moderate,42,Pericrocotus cinnamomeus
southern hill myna,S,RF,NA,loud,easy,493,Gracula indica
speckled piculet,S,RF,NA,soft,difficult,25,Picumnus innominatus
spot-bellied eagle-owl,S,RF,NA,soft,difficult,1,Bubo nipalensis
spotted dove,S,OC,NA,moderate,easy,24,Streptopelia chinensis
square-tailed bulbul (black bulbul),S,RF,NA,loud,easy,514,Hypsipetes ganeesa
sri lanka frogmouth,S,RF,NA,moderate,difficult,2,Batrachostomus moniliger
streak-throated woodpecker,S,OC,NA,loud,moderate,9,Picus xanthopygaeus
thick-billed warbler,S,OC,NA,moderate,difficult,2,Arundinax aedon
tickell's leaf warbler,S,RF,NA,soft,difficult,4,Phylloscopus affinis
velvet-fronted nuthatch,S,RF,NA,moderate,easy,529,Sitta frontalis
verditer flycatcher,S,RF,NA,soft,moderate,7,Eumyias thalassinus
vernal hanging-parrot (indian lorikeet),S,RF,NA,loud,moderate,355,Loriculus vernalis
western crowned warbler,S,RF,NA,soft,difficult,97,Phylloscopus occipitalis
white-bellied blue flycatcher,S,RF,Y,soft,difficult,196,Cyornis pallidipes
white-bellied sholakili,S,RF,Y,moderate,difficult,45,Sholicola albiventris
white-bellied treepie,S,RF,Y,loud,easy,69,Dendrocitta leucogastra
white-bellied woodpecker (great black woodpecker),S,RF,NA,loud,moderate,16,Dryocopus javensis
white-breasted waterhen,S,OC,NA,loud,easy,3,Amaurornis phoenicurus
white-cheeked barbet (small green barbet),S,RF,Y,loud,moderate,652,Psilopogon viridis
white-throated kingfisher,S,OC,NA,loud,easy,9,Halcyon smyrnensis
wynaad laughingthrush,S,RF,Y,moderate,difficult,13,Ianthocincla delesserti
yellow-browed bulbul,S,RF,NA,loud,easy,1221,Iole indica
