"","Var1","Var2","bcdist","Fragment","timediff","dat_subset","resp","dPC1","dPC2","dPC3","dPC4","Area_m2","Perimeter_m","Shape_fractalD"
"1",2000,2005,0.157565289423894,"Akkamalai_Iyerpadi",5,"all","composition",-0.130795200890587,-0.170329324258964,0.65599109343934,-0.688653756556229,43099800,136575.6259,1.18758999323785
"2",2000,2019,0.234924503981974,"Akkamalai_Iyerpadi",19,"all","composition",0.803038974611878,1.05841207431343,-0.445577925581585,-0.825332999309113,43099800,136575.6259,1.18758999323785
"3",2005,2019,0.200764630459779,"Akkamalai_Iyerpadi",14,"all","composition",0.933834175502465,1.2287413985724,-1.10156901902092,-0.136679242752884,43099800,136575.6259,1.18758999323785
"4",2000,2005,0.191478303786209,"Andiparai",5,"all","composition",-0.0105008665693564,-0.0179251196346839,-0.0143100155828229,0.0753203782196076,3270000,16621.0744,1.11092872124682
"5",2000,2019,0.267517860824795,"Andiparai",19,"all","composition",-0.638735622238606,1.60430559282083,-0.320649242206742,1.55035436196011,3270000,16621.0744,1.11092872124682
"6",2005,2019,0.278553088127462,"Andiparai",14,"all","composition",-0.62823475566925,1.62223071245551,-0.306339226623919,1.4750339837405,3270000,16621.0744,1.11092872124682
"7",2005,2019,0.449548144150125,"Injiparai",14,"all","composition",-1.07845739405442,0.843005157278146,-2.22223409489144,-0.444128596218134,189800,2290.384,1.04497671260108
"8",2000,2019,0.388209156138455,"Karian-Shola",19,"all","composition",3.25458908188786,0.494183769911858,-0.04785166771545,0.0863972489878338,8542700,22397.7708,1.08146673914852
"9",2000,2005,0.282512655361132,"Korangamudi",5,"all","composition",-2.51832317435146,0.724913983167402,0.697914250230504,-2.5047239855752,733200,4665.1673,1.04575990232253
"10",2000,2019,0.420133014497191,"Korangamudi",19,"all","composition",-2.92621021300697,3.0326661701744,-0.340412167317019,-2.44171395855353,733200,4665.1673,1.04575990232253
"11",2005,2019,0.317443929842317,"Korangamudi",14,"all","composition",-0.407887038655508,2.307752187007,-1.03832641754752,0.0630100270216734,733200,4665.1673,1.04575990232253
"12",2000,2005,0.24362634908986,"Manamboly",5,"all","composition",1.10102371804471,-0.125726425271847,-0.398725402563555,-0.113205439559048,1749500,11653.4501,1.1098645789596
"13",2000,2019,0.300955253533444,"Manamboly",19,"all","composition",0.859005496429406,1.21681083680209,-2.00872440323342,-0.419831851273453,1749500,11653.4501,1.1098645789596
"14",2005,2019,0.256097581288183,"Manamboly",14,"all","composition",-0.242018221615299,1.34253726207393,-1.60999900066986,-0.306626411714405,1749500,11653.4501,1.1098645789596
"15",2000,2005,0.239771824005391,"OldValparai",5,"all","composition",-0.946452999001499,0.13877536658317,0.49453219949488,-0.15013009992545,413100,4504.4459,1.0867348264868
"16",2000,2019,0.278930896859729,"OldValparai",19,"all","composition",-0.673366715621148,1.50826413792788,-1.27679471969547,0.564630526906708,413100,4504.4459,1.0867348264868
"17",2005,2019,0.317233268413936,"OldValparai",14,"all","composition",0.273086283380351,1.36948877134471,-1.77132691919035,0.714760626832158,413100,4504.4459,1.0867348264868
"18",2000,2005,0.18750025408545,"Pannimade",5,"all","composition",-1.92532633953886,-1.01415205223362,1.0942654343118,-1.59835464948442,921300,7447.913,1.09649722230686
"19",2000,2019,0.316204631580991,"Pannimade",19,"all","composition",-1.76622502714391,0.575586387394611,-0.143552693519736,0.617252767013808,921300,7447.913,1.09649722230686
"20",2005,2019,0.293585493202105,"Pannimade",14,"all","composition",0.159101312394954,1.58973843962823,-1.23781812783154,2.21560741649823,921300,7447.913,1.09649722230686
"21",2000,2005,0.284742561752929,"Puduthottam",5,"all","composition",-0.928923809699407,1.78800342968089,0.755827201955262,0.250934125344481,1130800,6052.1937,1.0506030618116
"22",2000,2019,0.351505830179108,"Puduthottam",19,"all","composition",-0.701527512281893,5.15666356127337,-1.46222210558325,-0.17802364783599,1130800,6052.1937,1.0506030618116
"23",2005,2019,0.320279174008968,"Puduthottam",14,"all","composition",0.227396297417514,3.36866013159248,-2.21804930753852,-0.428957773180471,1130800,6052.1937,1.0506030618116
"24",2000,2019,0.483150876676396,"Selaliparai1",19,"all","composition",-1.73171156684704,0.826526341013504,-0.950401236475166,-2.42575288227145,22200,936.4225,1.09029886105024
"25",2000,2019,0.55232704292603,"Selaliparai2",19,"all","composition",1.4502821969993,0.161162952433869,-1.58186140468619,1.38363299442955,6700,359.7341,1.02137136200681
"26",2000,2019,0.299402668614545,"Varagaliar",19,"all","composition",-1.13744396041573,4.19936385774775,1.93750295761465,0.357918808094953,14110900,43267.566,1.12849055214815
"27",2000,2005,0.295770833993074,"Varatuparai123",5,"all","composition",-0.146870147927688,0.805910800862136,0.8423357886654,0.635872387575631,125200,2744.1716,1.11281735148559
"28",2000,2019,0.500024794687032,"Varatuparai123",19,"all","composition",-1.01431290054961,2.1464390717073,1.37080578164157,1.52407588777635,125200,2744.1716,1.11281735148559
"29",2005,2019,0.453360357641529,"Varatuparai123",14,"all","composition",-0.867442752621924,1.34052827084517,0.528469992976168,0.888203500200719,125200,2744.1716,1.11281735148559
"30",2000,2019,0.548151855442611,"Varatuparai4",19,"all","composition",-3.89193846895657,1.94449244572529,2.36896990502968,0.153588887217411,38500,1676.2152,1.14373230429723
"31",2000,2005,0.148880639005445,"Akkamalai_Iyerpadi",5,"rf","composition",-0.130795200890587,-0.170329324258964,0.65599109343934,-0.688653756556229,43099800,136575.6259,1.18758999323785
"32",2000,2019,0.202861122182346,"Akkamalai_Iyerpadi",19,"rf","composition",0.803038974611878,1.05841207431343,-0.445577925581585,-0.825332999309113,43099800,136575.6259,1.18758999323785
"33",2005,2019,0.174078012032047,"Akkamalai_Iyerpadi",14,"rf","composition",0.933834175502465,1.2287413985724,-1.10156901902092,-0.136679242752884,43099800,136575.6259,1.18758999323785
"34",2000,2005,0.182337564280198,"Andiparai",5,"rf","composition",-0.0105008665693564,-0.0179251196346839,-0.0143100155828229,0.0753203782196076,3270000,16621.0744,1.11092872124682
"35",2000,2019,0.224490616892204,"Andiparai",19,"rf","composition",-0.638735622238606,1.60430559282083,-0.320649242206742,1.55035436196011,3270000,16621.0744,1.11092872124682
"36",2005,2019,0.248782107485712,"Andiparai",14,"rf","composition",-0.62823475566925,1.62223071245551,-0.306339226623919,1.4750339837405,3270000,16621.0744,1.11092872124682
"37",2005,2019,0.40900938287497,"Injiparai",14,"rf","composition",-1.07845739405442,0.843005157278146,-2.22223409489144,-0.444128596218134,189800,2290.384,1.04497671260108
"38",2000,2019,0.348403229374093,"Karian-Shola",19,"rf","composition",3.25458908188786,0.494183769911858,-0.04785166771545,0.0863972489878338,8542700,22397.7708,1.08146673914852
"39",2000,2005,0.282653854746028,"Korangamudi",5,"rf","composition",-2.51832317435146,0.724913983167402,0.697914250230504,-2.5047239855752,733200,4665.1673,1.04575990232253
"40",2000,2019,0.382909037937505,"Korangamudi",19,"rf","composition",-2.92621021300697,3.0326661701744,-0.340412167317019,-2.44171395855353,733200,4665.1673,1.04575990232253
"41",2005,2019,0.271289311932318,"Korangamudi",14,"rf","composition",-0.407887038655508,2.307752187007,-1.03832641754752,0.0630100270216734,733200,4665.1673,1.04575990232253
"42",2000,2005,0.2292271508714,"Manamboly",5,"rf","composition",1.10102371804471,-0.125726425271847,-0.398725402563555,-0.113205439559048,1749500,11653.4501,1.1098645789596
"43",2000,2019,0.239459275840397,"Manamboly",19,"rf","composition",0.859005496429406,1.21681083680209,-2.00872440323342,-0.419831851273453,1749500,11653.4501,1.1098645789596
"44",2005,2019,0.214702977827046,"Manamboly",14,"rf","composition",-0.242018221615299,1.34253726207393,-1.60999900066986,-0.306626411714405,1749500,11653.4501,1.1098645789596
"45",2000,2005,0.217800105730935,"OldValparai",5,"rf","composition",-0.946452999001499,0.13877536658317,0.49453219949488,-0.15013009992545,413100,4504.4459,1.0867348264868
"46",2000,2019,0.22572797213997,"OldValparai",19,"rf","composition",-0.673366715621148,1.50826413792788,-1.27679471969547,0.564630526906708,413100,4504.4459,1.0867348264868
"47",2005,2019,0.238444850992447,"OldValparai",14,"rf","composition",0.273086283380351,1.36948877134471,-1.77132691919035,0.714760626832158,413100,4504.4459,1.0867348264868
"48",2000,2005,0.16821520209323,"Pannimade",5,"rf","composition",-1.92532633953886,-1.01415205223362,1.0942654343118,-1.59835464948442,921300,7447.913,1.09649722230686
"49",2000,2019,0.26204073081234,"Pannimade",19,"rf","composition",-1.76622502714391,0.575586387394611,-0.143552693519736,0.617252767013808,921300,7447.913,1.09649722230686
"50",2005,2019,0.24790689290599,"Pannimade",14,"rf","composition",0.159101312394954,1.58973843962823,-1.23781812783154,2.21560741649823,921300,7447.913,1.09649722230686
"51",2000,2005,0.251724125761721,"Puduthottam",5,"rf","composition",-0.928923809699407,1.78800342968089,0.755827201955262,0.250934125344481,1130800,6052.1937,1.0506030618116
"52",2000,2019,0.294887677061898,"Puduthottam",19,"rf","composition",-0.701527512281893,5.15666356127337,-1.46222210558325,-0.17802364783599,1130800,6052.1937,1.0506030618116
"53",2005,2019,0.271542902130101,"Puduthottam",14,"rf","composition",0.227396297417514,3.36866013159248,-2.21804930753852,-0.428957773180471,1130800,6052.1937,1.0506030618116
"54",2000,2019,0.482805647723265,"Selaliparai1",19,"rf","composition",-1.73171156684704,0.826526341013504,-0.950401236475166,-2.42575288227145,22200,936.4225,1.09029886105024
"55",2000,2019,0.53794689683317,"Selaliparai2",19,"rf","composition",1.4502821969993,0.161162952433869,-1.58186140468619,1.38363299442955,6700,359.7341,1.02137136200681
"56",2000,2019,0.261482864010744,"Varagaliar",19,"rf","composition",-1.13744396041573,4.19936385774775,1.93750295761465,0.357918808094953,14110900,43267.566,1.12849055214815
"57",2000,2005,0.289342519340633,"Varatuparai123",5,"rf","composition",-0.146870147927688,0.805910800862136,0.8423357886654,0.635872387575631,125200,2744.1716,1.11281735148559
"58",2000,2019,0.453525736309748,"Varatuparai123",19,"rf","composition",-1.01431290054961,2.1464390717073,1.37080578164157,1.52407588777635,125200,2744.1716,1.11281735148559
"59",2005,2019,0.414418186381783,"Varatuparai123",14,"rf","composition",-0.867442752621924,1.34052827084517,0.528469992976168,0.888203500200719,125200,2744.1716,1.11281735148559
